Source,Target,Weight,Type
A_Ad_martyras,A_Ad_Nationes_I_et_II,1,undirected
A_Ad_martyras,A_Apol,22,undirected
A_Ad_martyras,A_Pall,1,undirected
A_Ad_martyras,D_Adv_Val,7,undirected
A_Ad_martyras,Di_Cor,3,undirected
A_Ad_martyras,Di_Cult_I_et_II,9,undirected
A_Ad_martyras,Di_Spect,17,undirected
A_Ad_Nationes_I_et_II,A_Ad_martyras,1,undirected
A_Ad_Nationes_I_et_II,A_Ad_Scapulam,15,undirected
A_Ad_Nationes_I_et_II,A_Apol,60,undirected
A_Ad_Nationes_I_et_II,A_Pall,6,undirected
A_Ad_Nationes_I_et_II,A_Test_an,1,undirected
A_Ad_Nationes_I_et_II,D_Praes,3,undirected
A_Ad_Nationes_I_et_II,Di_An,3,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,28,undirected
A_Ad_Nationes_I_et_II,Di_Idol,1,undirected
A_Ad_Nationes_I_et_II,Di_Spect,27,undirected
A_Ad_Scapulam,A_Ad_Nationes_I_et_II,15,undirected
A_Ad_Scapulam,A_Apol,30,undirected
A_Ad_Scapulam,A_Scorp,13,undirected
A_Ad_Scapulam,Di_Idol,2,undirected
A_Apol,A_Ad_martyras,22,undirected
A_Apol,A_Ad_Nationes_I_et_II,60,undirected
A_Apol,A_Ad_Scapulam,30,undirected
A_Apol,A_Pall,21,undirected
A_Apol,A_Scorp,1,undirected
A_Apol,A_Test_an,27,undirected
A_Apol,D_Adv_Val,7,undirected
A_Apol,D_Praes,23,undirected
A_Apol,Di_Cor,24,undirected
A_Apol,Di_Cult_I_et_II,44,undirected
A_Apol,Di_Idol,14,undirected
A_Apol,Di_Ieiun,6,undirected
A_Apol,Di_Paen,12,undirected
A_Apol,Di_Pat,2,undirected
A_Apol,Di_Spect,46,undirected
A_Apol,Di_Virg_vel,13,undirected
A_Apol,Di_Vx_I_et_II,17,undirected
A_Pall,A_Ad_martyras,1,undirected
A_Pall,A_Ad_Nationes_I_et_II,6,undirected
A_Pall,A_Apol,21,undirected
A_Pall,D_Adv_Val,2,undirected
A_Pall,Di_Cor,10,undirected
A_Pall,Di_Cult_I_et_II,15,undirected
A_Pall,Di_Idol,3,undirected
A_Pall,Di_Ieiun,3,undirected
A_Scorp,A_Ad_Scapulam,13,undirected
A_Scorp,A_Apol,1,undirected
A_Scorp,D_Adv_Iudaeos,12,undirected
A_Scorp,D_Adv_Marc_III,4,undirected
A_Scorp,D_Adv_Marc_IV,33,undirected
A_Scorp,D_Adv_Marc_V,1,undirected
A_Scorp,D_Adv_Val,7,undirected
A_Scorp,D_Praes,5,undirected
A_Scorp,Di_Bapt,18,undirected
A_Scorp,Di_Cor,26,undirected
A_Scorp,Di_Fug,28,undirected
A_Scorp,Di_Idol,14,undirected
A_Scorp,Di_Ieiun,11,undirected
A_Scorp,Di_Orat,15,undirected
A_Scorp,Di_Pat,6,undirected
A_Scorp,Di_Pud,23,undirected
A_Scorp,Di_Res,4,undirected
A_Scorp,Di_Spect,2,undirected
A_Test_an,A_Ad_Nationes_I_et_II,1,undirected
A_Test_an,A_Apol,27,undirected
A_Test_an,Di_An,15,undirected
A_Test_an,Di_Cult_I_et_II,2,undirected
A_Test_an,Di_Idol,13,undirected
A_Test_an,Di_Pud,2,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,30,undirected
D_Adv_Hermogenem,D_Adv_Marc_II,7,undirected
D_Adv_Hermogenem,D_Adv_Praxean,3,undirected
D_Adv_Hermogenem,Di_An,14,undirected
D_Adv_Hermogenem,Di_Carn,3,undirected
D_Adv_Hermogenem,Di_Mono,3,undirected
D_Adv_Iudaeos,A_Scorp,12,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,39,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,13,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,3,undirected
D_Adv_Iudaeos,Di_Ieiun,2,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,30,undirected
D_Adv_Marc_I,D_Adv_Marc_II,48,undirected
D_Adv_Marc_I,D_Adv_Marc_IV,20,undirected
D_Adv_Marc_I,D_Adv_Marc_V,10,undirected
