Source,Target,Weight,Type
A_Ad_martyras,A_Apol,22,undirected
A_Ad_martyras,A_Pall,4,undirected
A_Ad_martyras,Di_Cor,15,undirected
A_Ad_martyras,Di_Cult_I_et_II,14,undirected
A_Ad_martyras,Di_Ieiun,4,undirected
A_Ad_martyras,Di_Spect,1,undirected
A_Ad_Nationes_I_et_II,A_Ad_Scapulam,7,undirected
A_Ad_Nationes_I_et_II,A_Apol,60,undirected
A_Ad_Nationes_I_et_II,Di_Bapt,1,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,32,undirected
A_Ad_Nationes_I_et_II,Di_Idol,1,undirected
A_Ad_Nationes_I_et_II,Di_Spect,13,undirected
A_Ad_Scapulam,A_Ad_Nationes_I_et_II,7,undirected
A_Ad_Scapulam,A_Apol,30,undirected
A_Ad_Scapulam,Di_Cult_I_et_II,16,undirected
A_Ad_Scapulam,Di_Idol,2,undirected
A_Ad_Scapulam,Di_Spect,5,undirected
A_Apol,A_Ad_martyras,22,undirected
A_Apol,A_Ad_Nationes_I_et_II,60,undirected
A_Apol,A_Ad_Scapulam,30,undirected
A_Apol,A_Pall,7,undirected
A_Apol,A_Test_an,28,undirected
A_Apol,D_Praes,24,undirected
A_Apol,Di_Cor,5,undirected
A_Apol,Di_Cult_I_et_II,48,undirected
A_Apol,Di_Exhort_Cast,2,undirected
A_Apol,Di_Paen,6,undirected
A_Apol,Di_Spect,31,undirected
A_Apol,Di_Vx_I_et_II,3,undirected
A_Pall,A_Ad_martyras,4,undirected
A_Pall,A_Apol,7,undirected
A_Pall,D_Adv_Val,1,undirected
A_Pall,Di_Cor,30,undirected
A_Pall,Di_Cult_I_et_II,14,undirected
A_Pall,Di_Idol,3,undirected
A_Pall,Di_Ieiun,5,undirected
A_Scorp,D_Adv_Hermogenem,8,undirected
A_Scorp,D_Adv_Iudaeos,17,undirected
A_Scorp,D_Adv_Marc_I,3,undirected
A_Scorp,D_Adv_Marc_III,1,undirected
A_Scorp,D_Adv_Marc_IV,34,undirected
A_Scorp,D_Adv_Marc_V,1,undirected
A_Scorp,D_Adv_Praxean,3,undirected
A_Scorp,D_Adv_Val,23,undirected
A_Scorp,D_Praes,1,undirected
A_Scorp,Di_An,1,undirected
A_Scorp,Di_Bapt,10,undirected
A_Scorp,Di_Cor,29,undirected
A_Scorp,Di_Fug,24,undirected
A_Scorp,Di_Idol,19,undirected
A_Scorp,Di_Ieiun,27,undirected
A_Scorp,Di_Orat,11,undirected
A_Scorp,Di_Pud,56,undirected
A_Scorp,Di_Res,14,undirected
A_Scorp,Di_Spect,13,undirected
A_Test_an,A_Apol,28,undirected
A_Test_an,Di_Cult_I_et_II,8,undirected
A_Test_an,Di_Idol,15,undirected
A_Test_an,Di_Pud,9,undirected
D_Adv_Hermogenem,A_Scorp,8,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,30,undirected
D_Adv_Hermogenem,D_Adv_Marc_II,19,undirected
D_Adv_Hermogenem,Di_Mono,3,undirected
D_Adv_Iudaeos,A_Scorp,17,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,41,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,8,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,5,undirected
D_Adv_Marc_I,A_Scorp,3,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,30,undirected
D_Adv_Marc_I,D_Adv_Marc_II,60,undirected
D_Adv_Marc_I,D_Adv_Marc_IV,20,undirected
D_Adv_Marc_I,D_Adv_Marc_V,7,undirected
D_Adv_Marc_II,D_Adv_Hermogenem,19,undirected
D_Adv_Marc_II,D_Adv_Marc_I,60,undirected
D_Adv_Marc_II,D_Adv_Marc_IV,14,undirected
D_Adv_Marc_II,Di_Pud,16,undirected
D_Adv_Marc_III,A_Scorp,1,undirected
D_Adv_Marc_III,D_Adv_Iudaeos,41,undirected
D_Adv_Marc_III,D_Adv_Marc_IV,37,undirected
D_Adv_Marc_III,D_Adv_Marc_V,49,undirected
D_Adv_Marc_III,D_Adv_Praxean,7,undirected
D_Adv_Marc_IV,A_Scorp,34,undirected
D_Adv_Marc_IV,D_Adv_Iudaeos,8,undirected
D_Adv_Marc_IV,D_Adv_Marc_I,20,undirected
D_Adv_Marc_IV,D_Adv_Marc_II,14,undirected
D_Adv_Marc_IV,D_Adv_Marc_III,37,undirected
D_Adv_Marc_IV,D_Adv_Marc_V,60,undirected
D_Adv_Marc_IV,D_Adv_Praxean,29,undirected
D_Adv_Marc_IV,Di_Fug,4,undirected
D_Adv_Marc_IV,Di_Mono,5,undirected
D_Adv_Marc_IV,Di_Pud,17,undirected
D_Adv_Marc_V,A_Scorp,1,undirected
D_Adv_Marc_V,D_Adv_Iudaeos,5,undirected
D_Adv_Marc_V,D_Adv_Marc_I,7,undirected
D_Adv_Marc_V,D_Adv_Marc_III,49,undirected
D_Adv_Marc_V,D_Adv_Marc_IV,60,undirected
D_Adv_Marc_V,D_Adv_Praxean,21,undirected
D_Adv_Marc_V,Di_Carn,9,undirected
D_Adv_Marc_V,Di_Fug,2,undirected
D_Adv_Marc_V,Di_Mono,3,undirected
D_Adv_Marc_V,Di_Pud,14,undirected
D_Adv_Praxean,A_Scorp,3,undirected
D_Adv_Praxean,D_Adv_Marc_III,7,undirected
D_Adv_Praxean,D_Adv_Marc_IV,29,undirected
D_Adv_Praxean,D_Adv_Marc_V,21,undirected
D_Adv_Val,A_Pall,1,undirected
D_Adv_Val,A_Scorp,23,undirected
D_Adv_Val,Di_An,42,undirected
D_Adv_Val,Di_Ieiun,25,undirected
D_Praes,A_Apol,24,undirected
D_Praes,A_Scorp,1,undirected
D_Praes,Di_Cult_I_et_II,11,undirected
D_Praes,Di_Mono,25,undirected
D_Praes,Di_Pud,1,undirected
Di_An,A_Scorp,1,undirected
Di_An,D_Adv_Val,42,undirected
Di_An,Di_Cor,3,undirected
Di_An,Di_Cult_I_et_II,1,undirected
Di_An,Di_Ieiun,2,undirected
Di_An,Di_Pud,8,undirected
Di_An,Di_Res,43,undirected
Di_An,Di_Virg_vel,2,undirected
Di_Bapt,A_Ad_Nationes_I_et_II,1,undirected
Di_Bapt,A_Scorp,10,undirected
Di_Bapt,Di_Orat,29,undirected
Di_Bapt,Di_Paen,4,undirected
Di_Bapt,Di_Pud,25,undirected
Di_Bapt,Di_Vx_I_et_II,4,undirected
Di_Carn,D_Adv_Marc_V,9,undirected
Di_Carn,Di_Exhort_Cast,3,undirected
Di_Carn,Di_Mono,30,undirected
Di_Carn,Di_Res,18,undirected
Di_Cor,A_Ad_martyras,15,undirected
Di_Cor,A_Apol,5,undirected
Di_Cor,A_Pall,30,undirected
Di_Cor,A_Scorp,29,undirected
Di_Cor,Di_An,3,undirected
Di_Cor,Di_Cult_I_et_II,20,undirected
Di_Cor,Di_Ieiun,4,undirected
Di_Cor,Di_Spect,7,undirected
Di_Cult_I_et_II,A_Ad_martyras,14,undirected
Di_Cult_I_et_II,A_Ad_Nationes_I_et_II,32,undirected
Di_Cult_I_et_II,A_Ad_Scapulam,16,undirected
Di_Cult_I_et_II,A_Apol,48,undirected
Di_Cult_I_et_II,A_Pall,14,undirected
Di_Cult_I_et_II,A_Test_an,8,undirected
Di_Cult_I_et_II,D_Praes,11,undirected
Di_Cult_I_et_II,Di_An,1,undirected
Di_Cult_I_et_II,Di_Cor,20,undirected
Di_Cult_I_et_II,Di_Idol,1,undirected
Di_Cult_I_et_II,Di_Spect,8,undirected
Di_Cult_I_et_II,Di_Virg_vel,24,undirected
Di_Cult_I_et_II,Di_Vx_I_et_II,16,undirected
Di_Exhort_Cast,A_Apol,2,undirected
Di_Exhort_Cast,Di_Carn,3,undirected
